Year,Exports,Unit of Measure,growthProp,value,negativeGrowth
1964,1413,(1000 MT),0,positive,0
1965,1302,(1000 MT),-0.0786,negative,7.86
1966,1592,(1000 MT),0.2227,positive,0
1967,2075,(1000 MT),0.3034,positive,0
1968,1706,(1000 MT),-0.1778,negative,17.78
1969,1886,(1000 MT),0.1055,positive,0
1970,1760,(1000 MT),-0.0668,negative,6.68
1971,1622,(1000 MT),-0.0784,negative,7.84
1972,354,(1000 MT),-0.7818,negative,78.18
1973,616,(1000 MT),0.7401,positive,0
1974,781,(1000 MT),0.2679,positive,0
1975,592,(1000 MT),-0.242,negative,24.2
1976,440,(1000 MT),-0.2568,negative,25.68
1977,473,(1000 MT),0.075,positive,0
1978,657,(1000 MT),0.389,positive,0
1979,416,(1000 MT),-0.3668,negative,36.68
1980,315,(1000 MT),-0.2428,negative,24.28
1981,616,(1000 MT),0.9556,positive,0
1982,210,(1000 MT),-0.6591,negative,65.91
1983,416,(1000 MT),0.981,positive,0
1984,505,(1000 MT),0.2139,positive,0
1985,699,(1000 MT),0.3842,positive,0
1986,721,(1000 MT),0.0315,positive,0
1987,807,(1000 MT),0.1193,positive,0
1988,1119,(1000 MT),0.3866,positive,0
1989,1232,(1000 MT),0.101,positive,0
1990,1312,(1000 MT),0.0649,positive,0
1991,1206,(1000 MT),-0.0808,negative,8.08
1992,1432,(1000 MT),0.1874,positive,0
1993,2274,(1000 MT),0.588,positive,0
1994,1830,(1000 MT),-0.1953,negative,19.53
1995,1613,(1000 MT),-0.1186,negative,11.86
1996,2170,(1000 MT),0.3453,positive,0
1997,673,(1000 MT),-0.6899,negative,68.99
1998,1486,(1000 MT),1.208,positive,0
1999,2352,(1000 MT),0.5828,positive,0
2000,1943,(1000 MT),-0.1739,negative,17.39
2001,1519,(1000 MT),-0.2182,negative,21.82
2002,1360,(1000 MT),-0.1047,negative,10.47
2003,1756,(1000 MT),0.2912,positive,0
2004,2004,(1000 MT),0.1412,positive,0
2005,1346,(1000 MT),-0.3283,negative,32.83
2006,1276,(1000 MT),-0.052,negative,5.2
2007,1577,(1000 MT),0.2359,positive,0
2008,1539,(1000 MT),-0.0241,negative,2.41
2009,1090,(1000 MT),-0.2917,negative,29.17
2010,1303,(1000 MT),0.1954,positive,0
2011,1347,(1000 MT),0.0338,positive,0
2012,864,(1000 MT),-0.3586,negative,35.86
2013,868,(1000 MT),0.0046,positive,0
2014,714,(1000 MT),-0.1774,negative,17.74
2015,644,(1000 MT),-0.098,negative,9.8
2016,978,(1000 MT),0.5186,positive,0
2017,1003,(1000 MT),0.0256,positive,0
2018,1067,(1000 MT),0.0638,positive,0
2019,1100,(1000 MT),0.0309,positive,0
2020,1100,(1000 MT),0,positive,0